time	V(vout)	V(vrail)	V(vswitch)
0.000000000000000e+000	2.666983e-023	0.000000e+000	0.000000e+000
2.794999999999993e-005	-6.720539e-020	0.000000e+000	0.000000e+000
5.795000000000057e-005	-1.376798e-019	0.000000e+000	0.000000e+000
8.795000000000130e-005	5.732760e-020	0.000000e+000	0.000000e+000
1.179500000000020e-004	5.742426e-019	0.000000e+000	0.000000e+000
1.479500000000028e-004	4.440999e-019	0.000000e+000	0.000000e+000
1.779500000000035e-004	3.476873e-019	0.000000e+000	0.000000e+000
2.079500000000042e-004	2.762627e-019	0.000000e+000	0.000000e+000
2.379500000000049e-004	2.233499e-019	0.000000e+000	0.000000e+000
2.679500000000057e-004	1.841509e-019	0.000000e+000	0.000000e+000
2.979500000000064e-004	1.551114e-019	0.000000e+000	0.000000e+000
3.279500000000071e-004	1.335984e-019	0.000000e+000	0.000000e+000
3.579500000000079e-004	1.176610e-019	0.000000e+000	0.000000e+000
3.879500000000086e-004	1.058543e-019	0.000000e+000	0.000000e+000
4.179500000000093e-004	9.710759e-020	0.000000e+000	0.000000e+000
4.479500000000101e-004	9.062786e-020	0.000000e+000	0.000000e+000
4.779500000000108e-004	8.582752e-020	0.000000e+000	0.000000e+000
5.000000000000000e-004	0.000000e+000	0.000000e+000	0.000000e+000
5.000000001000000e-004	6.990624e-005	5.999999e-001	0.000000e+000
5.000000002999999e-004	2.058948e-004	1.799999e+000	0.000000e+000
5.000000004427459e-004	3.047181e-004	2.656476e+000	0.000000e+000
5.000000005006470e-004	3.460340e-004	3.003881e+000	0.000000e+000
5.000000005050236e-004	3.491103e-004	3.030141e+000	0.000000e+000
5.000000005061651e-004	3.498170e-004	3.036991e+000	0.000000e+000
5.000000005070314e-004	3.502857e-004	3.042188e+000	0.000000e+000
5.000000005075435e-004	3.505576e-004	3.045261e+000	0.000000e+000
5.000000005089707e-004	3.513511e-004	3.053824e+000	0.000000e+000
5.000000005146800e-004	3.544916e-004	3.088080e+000	0.000000e+000
5.000000005375170e-004	3.666860e-004	3.225101e+000	0.000000e+000
5.000000007506626e-004	4.753536e-004	4.503975e+000	0.000000e+000
5.000000009942575e-004	5.941602e-004	5.965545e+000	0.000000e+000
5.000000010000000e-004	5.969001e-004	6.000000e+000	0.000000e+000
5.000000010029178e-004	5.972204e-004	6.000000e+000	0.000000e+000
5.000000010087533e-004	5.978527e-004	6.000000e+000	0.000000e+000
5.000000010437667e-004	6.013692e-004	6.000000e+000	0.000000e+000
5.000000010904510e-004	6.054032e-004	6.000000e+000	0.000000e+000
5.000000011838198e-004	6.117259e-004	6.000000e+000	0.000000e+000
5.000000013705572e-004	6.201956e-004	6.000000e+000	0.000000e+000
5.000000016263037e-004	6.266746e-004	6.000000e+000	0.000000e+000
5.000000019126802e-004	6.299121e-004	6.000000e+000	0.000000e+000
5.000000022681503e-004	6.313422e-004	6.000000e+000	0.000000e+000
5.000000027322045e-004	6.318683e-004	6.000000e+000	0.000000e+000
5.000000034313946e-004	6.320116e-004	6.000000e+000	0.000000e+000
5.000000045508914e-004	6.320296e-004	6.000000e+000	0.000000e+000
5.000000067898849e-004	6.320286e-004	6.000000e+000	0.000000e+000
5.000000102905504e-004	6.320287e-004	5.999999e+000	0.000000e+000
5.000000150050778e-004	6.320286e-004	5.999999e+000	0.000000e+000
5.000000228914271e-004	6.320284e-004	5.999998e+000	0.000000e+000
5.000000386641255e-004	6.320280e-004	5.999996e+000	0.000000e+000
5.000000702095225e-004	6.320273e-004	5.999993e+000	0.000000e+000
5.000001333003163e-004	6.320259e-004	5.999987e+000	0.000000e+000
5.000002594819041e-004	6.320231e-004	5.999974e+000	0.000000e+000
5.000005118450796e-004	6.320174e-004	5.999949e+000	0.000000e+000
5.000010165714306e-004	6.320060e-004	5.999898e+000	0.000000e+000
5.000020260241325e-004	6.319834e-004	5.999797e+000	0.000000e+000
5.000040449295364e-004	6.319382e-004	5.999596e+000	0.000000e+000
