time	V(vout)	I(I1)
0.000000000000000e+000	1.015065e-001	5.000000e-004
3.214285714285704e-009	1.018840e-001	5.000000e-004
6.428571428571407e-009	1.022347e-001	5.000000e-004
9.642857142857111e-009	1.025586e-001	5.000000e-004
1.285714285714281e-008	1.028557e-001	5.000000e-004
1.607142857142852e-008	1.031259e-001	5.000000e-004
1.928571428571422e-008	1.033693e-001	5.000000e-004
2.249999999999992e-008	1.035860e-001	5.000000e-004
2.578571428571419e-008	1.037896e-001	5.000000e-004
2.907142857142846e-008	1.039786e-001	5.000000e-004
3.235714285714274e-008	1.041527e-001	5.000000e-004
3.564285714285701e-008	1.043121e-001	5.000000e-004
3.892857142857129e-008	1.044568e-001	5.000000e-004
4.221428571428555e-008	1.045867e-001	5.000000e-004
4.549999999999982e-008	1.047018e-001	5.000000e-004
4.878571428571409e-008	1.048078e-001	5.000000e-004
5.207142857142837e-008	1.049062e-001	5.000000e-004
5.535714285714264e-008	1.049968e-001	5.000000e-004
5.864285714285691e-008	1.050798e-001	5.000000e-004
6.192857142857119e-008	1.051551e-001	5.000000e-004
6.521428571428546e-008	1.052227e-001	5.000000e-004
6.849999999999972e-008	1.052826e-001	5.000000e-004
7.192857142857113e-008	1.053400e-001	5.000000e-004
7.535714285714255e-008	1.053931e-001	5.000000e-004
7.878571428571396e-008	1.054419e-001	5.000000e-004
8.221428571428539e-008	1.054864e-001	5.000000e-004
8.564285714285680e-008	1.055266e-001	5.000000e-004
8.907142857142821e-008	1.055625e-001	5.000000e-004
9.249999999999962e-008	1.055941e-001	5.000000e-004
9.621428571428531e-008	1.056253e-001	5.000000e-004
9.992857142857101e-008	1.056541e-001	5.000000e-004
1.036428571428567e-007	1.056803e-001	5.000000e-004
1.073571428571424e-007	1.057041e-001	5.000000e-004
1.110714285714281e-007	1.057254e-001	5.000000e-004
1.147857142857138e-007	1.057442e-001	5.000000e-004
1.184999999999995e-007	1.057606e-001	5.000000e-004
1.226428571428567e-007	1.057770e-001	5.000000e-004
1.267857142857138e-007	1.057921e-001	5.000000e-004
1.309285714285710e-007	1.058057e-001	5.000000e-004
1.350714285714282e-007	1.058180e-001	5.000000e-004
1.392142857142853e-007	1.058288e-001	5.000000e-004
1.433571428571425e-007	1.058381e-001	5.000000e-004
1.474999999999997e-007	1.058461e-001	5.000000e-004
1.524999999999998e-007	1.058546e-001	5.000000e-004
1.574999999999999e-007	1.058624e-001	5.000000e-004
1.625000000000000e-007	1.058692e-001	5.000000e-004
1.675000000000001e-007	1.058752e-001	5.000000e-004
1.725000000000002e-007	1.058804e-001	5.000000e-004
1.775000000000003e-007	1.058848e-001	5.000000e-004
1.825000000000004e-007	1.058883e-001	5.000000e-004
1.895000000000006e-007	1.058925e-001	5.000000e-004
1.965000000000007e-007	1.058962e-001	5.000000e-004
2.035000000000009e-007	1.058994e-001	5.000000e-004
2.105000000000010e-007	1.059020e-001	5.000000e-004
2.175000000000012e-007	1.059042e-001	5.000000e-004
2.245000000000014e-007	1.059058e-001	5.000000e-004
2.315000000000015e-007	1.059070e-001	5.000000e-004
2.406428571428589e-007	1.059083e-001	5.000000e-004
2.497857142857162e-007	1.059094e-001	5.000000e-004
2.589285714285735e-007	1.059103e-001	5.000000e-004
2.680714285714309e-007	1.059111e-001	5.000000e-004
2.772142857142883e-007	1.059116e-001	5.000000e-004
2.863571428571456e-007	1.059120e-001	5.000000e-004
2.955000000000029e-007	1.059122e-001	5.000000e-004
2.965000000000030e-007	1.059123e-001	5.000000e-004
3.346428571428595e-007	1.059127e-001	5.000000e-004
3.727857142857161e-007	1.059131e-001	5.000000e-004
4.109285714285728e-007	1.059134e-001	5.000000e-004
4.490714285714294e-007	1.059136e-001	5.000000e-004
4.872142857142860e-007	1.059137e-001	5.000000e-004
5.253571428571426e-007	1.059137e-001	5.000000e-004
5.634999999999990e-007	1.059137e-001	5.000000e-004
5.964999999999980e-007	1.059137e-001	5.000000e-004
8.964999999999933e-007	1.059142e-001	5.000000e-004
1.196500000000016e-006	1.059147e-001	5.000000e-004
1.496500000000039e-006	1.059152e-001	5.000000e-004
1.796500000000061e-006	1.059157e-001	5.000000e-004
1.901000000000000e-006	1.059159e-001	5.000000e-004
1.901099999999986e-006	1.059130e-001	4.500000e-004
1.901299999999959e-006	1.059014e-001	3.500000e-004
1.901600000000055e-006	1.058682e-001	2.000000e-004
1.902000000000000e-006	1.058042e-001	0.000000e+000
1.902039999999995e-006	1.057951e-001	0.000000e+000
1.902119999999984e-006	1.057765e-001	0.000000e+000
1.902279999999962e-006	1.057376e-001	0.000000e+000
1.902599999999918e-006	1.056515e-001	0.000000e+000
