"Qty","Value","Device","Package","Parts","Description","ACTIVE_AREA_PER","ANGLE","CIRCUITS","EAGLEUP","GBW","I_F","I_MAX","I_PEAK","LUM","MFR","MPN","PWR","R_DS","TOL","TURNS","VDD","V_DS","V_F","V_GS","V_GS_TH","V_MAX",
"2","","HEADER-1X10/MALE/100MIL/TH/BREAKAWAY","90120-0130","X1, X2","","","","10","HEADER_MALE_1X10;; ","","","","","","Molex","90120-0130","","","","","","","","","","",
"1","","LED/BLUE/TH/5MM/CREE","C503B-BAN/GAN/BCN/GCN","DS9","","","30","","LED5MM_GREEN;;DNI","","30mA","","","7065mcd","Cree","C503B-BCN-CV0Z0461","","","","","","","3.2","","","",
"1","","LENS_HOLDER/M9/LOW-PROFILE","V-LH09","MP1","","","","","V-LH09;;","","","","","","Marshall","V-LH09","","","","","","","","","","",
"1","","MOSFET_N-TYPE/SI2342DS","SOT23-3","Q2","N-Channel MOSFET","","","","SOT23-3;;","","","","","","Vishay","Si2342DS","","0.018","","","","8","","5","0.575","",
"1","","MOSFET_P-TYPE/SI2333DDS","SOT23-3","Q1","P-Channel MOSFET","","","","SOT23-3;;","","","","","","Vishay","Si2333DDS","","0.033","","","","-12","","8","-0.7","",
"2","","OPA2380","MSOP8","U1, U2","Transimpedance Amp","","","","MSOP8;;","90MHz","","","","","TI","OPA2380AIDGKT","","","","","2.7-5.5","","","","","",
"1","","PL_450B","TO38-ICUT-PL_450B","D1","Blue Single-mode Laser Diode","","","","PL_450B;;","","100mA","","","","OSRAM","PL_450B","80mW","","","","","","","","","",
"11","","TP/CIRCLE_1.5","PAD_CIRCLE_1.5","TP5, TP6, TP10, TP101, TP102, TP201, TP202, TP301, TP302, TP401, TP402","","","","","","","","","","","","","","","","","","","","","","",
"5","","TP/CIRCLE_2","PAD_CIRCLE_2","TP9, TP103, TP203, TP303, TP403","","","","","","","","","","","","","","","","","","","","","","",
"2","","TP/OVAL_3X1.5","PAD_OVAL_3X1.5","TP7, TP8","","","","","","","","","","","","","","","","","","","","","","",
"3","","TP/RECT_5X2.5","PAD_RECT_5X2.5","TP1, TP2, TP3","","","","","","","","","","","","","","","","","","","","","","",
"2","0","R/1%/0805/0.125W","0805_WAVE","RK1, RK2","","","","","R0805;;","","","","","","","","0.125","","1","","","","","","","",
"1","0.1u","C/5%/0805/10V","0805_WAVE","C2","","","","","C0805;;","","","","","","","","","","5","","","","","","","",
"1","0.82","R_SENSE/1%/1206/0.5W","1206_WAVE","R3","","","","","R1206;;","","","","","","","","0.5","","1","","","","","","","",
"4","100","R/1%/0805/0.125W","0805_WAVE","R102, R202, R302, R402","","","","","R0805;;","","","","","","","","0.125","","1","","","","","","","",
"4","100p","C/1%/0805/10V","0805_WAVE","C102, C202, C302, C402","","","","","C0805;;","","","","","","","","","","1","","","","","","","",
"5","10k","R/1%/0805/0.125W","0805_WAVE","R2, R101, R201, R301, R401","","","","","R0805;;","","","","","","","","0.125","","1","","","","","","","",
"1","10k","R_POT/T93YB","T93YB","R4","Possible values:","","","","T93YB;;","","","","","","Vishay","T93YB103KT20","0.5","","10","19","","","","","","",
"1","137","R/1%/0805/0.125W","0805_WAVE","R9","","","","","R0805;;","","","","","","","","0.125","","1","","","","","","","",
"3","150","R/1%/0805/0.125W","0805_WAVE","R6, R11, R13","","","","","R0805;;","","","","","","","","0.125","","1","","","","","","","",
"1","1u","C/10%/0805/10V","0805_WAVE","C1","","","","","C0805;;","","","","","","","","","","10","","","","","","","",
"1","2.2n","C/1%/0805/10V","0805_WAVE","C3","","","","","C0805;;","","","","","","","","","","1","","","","","","","",
"1","22k","R/1%/0805/0.125W","0805_WAVE","R1","","","","","R0805;;","","","","","","","","0.125","","1","","","","","","","",
"4","2p","C/1%/0805/10V","0805_WAVE","C101, C201, C301, C401","","","","","C0805;;","","","","","","","","","","1","","","","","","","",
"1","4.7k","R/1%/0805/0.125W","0805_WAVE","R5","","","","","R0805;;","","","","","","","","0.125","","1","","","","","","","",
"1","47n","C/5%/0805/10V","0805_WAVE","C4","","","","","C0805;;","","","","","","","","","","5","","","","","","","",
"2","68","R/1%/0805/0.125W","0805_WAVE","R7, R8","","","","","R0805;;","","","","","","","","0.125","","1","","","","","","","",
"2","82","R/1%/0805/0.125W","0805_WAVE","R10, R12","","","","","R0805;;","","","","","","","","0.125","","1","","","","","","","",
"1","ID1","LED/BLUE/1206/KINGBRIGHT","1206_WAVE","DS5","","","120","","LED1206_BLUE;;","","20mA","","","100mcd","Kingbright","APT3216QBC/D","","","","","","","3.3","","","",
"1","ID2","LED/RED/1206/KINGBRIGHT","1206_WAVE","DS6","","","120","","LED1206_RED;;","","20mA","","","150mcd","Kingbright","APT3216SURCK","","","","","","","1.95","","","",
"1","ID3","LED/BLUE/1206/KINGBRIGHT","1206_WAVE","DS7","","","120","","LED1206_BLUE;;","","20mA","","","100mcd","Kingbright","APT3216QBC/D","","","","","","","3.3","","","",
"1","ID4","LED/YELLOW/1206/KINGBRIGHT","1206_WAVE","DS8","","","120","","LED1206_YELLOW;;","","20mA","","","150mcd","Kingbright","APT3216SYCK","","","","","","","2","","","",
"1","LSR","LED/YELLOW/1206/KINGBRIGHT","1206_WAVE","DS4","","","120","","LED1206_YELLOW;;","","20mA","","","150mcd","Kingbright","APT3216SYCK","","","","","","","2","","","",
"1","LSR_ENB","LED/RED/1206/KINGBRIGHT","1206_WAVE","DS3","","","120","","LED1206_RED;;","","20mA","","","150mcd","Kingbright","APT3216SURCK","","","","","","","1.95","","","",
"2","MTG_HOLE/M2/PLATED","MTG_HOLE/M2/PLATED","M2_PLATED","MH2, MH3","","","","","","","","","","","","","","","","","","","","","","",
"1","MTG_HOLE/M3/PLATED","MTG_HOLE/M3/PLATED","M3_PLATED","MH1","","","","","","","","","","","","","","","","","","","","","","",
"1","MikroBus_3","MIKROE_BUS_CONN/SOCKET/NO_OUTLINE/COMPACT","MIKROBUS_SOCKET_NO_OUTLINE_COMPACT","X3","","","","16","MIKROBUS_SOCKET;;","","","","","","Molex","90147-1108","90147-1108","","","","","","","","","",
"1","P3_3V","LED/YELLOW/1206/KINGBRIGHT","1206_WAVE","DS2","","","120","","LED1206_YELLOW;;","","20mA","","","150mcd","Kingbright","APT3216SYCK","","","","","","","2","","","",
"1","P5V","LED/YELLOW/1206/KINGBRIGHT","1206_WAVE","DS1","","","120","","LED1206_YELLOW;;","","20mA","","","150mcd","Kingbright","APT3216SYCK","","","","","","","2","","","",
"1","PAN_SERVO","HEADER-1X03/MALE/100MIL/TH/BREAKAWAY","22-28-4030","X4","","","","3","HEADER_MALE_1X03;;","","","","","","Molex","22-28-4030","","","","","","","","","","",
"1","QP10-6","QP10-6","TO5-QP10-6","D2","Quadrant PIN photodiode (QP)","2.45mm^2","","","QP10-6","","","","10mA","","First Sensor","QP10-6","","","","","","","","","","20V",
"1","TILT_SERVO","HEADER-1X03/MALE/100MIL/TH/BREAKAWAY","22-28-4030","X5","","","","3","HEADER_MALE_1X03;;","","","","","","Molex","22-28-4030","","","","","","","","","","",
"1","iC-HKB","IC-HKB","MSOP8-TP","U3","Laser Switching Driver (155 MHz)","","","","MSOP8;;","","","300mA","","","iC-Haus","iC-HKB","","","","","5","","","","","",
